"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"2462","Kankakee County, Illinois",53.8727553914,46556,14.8,85.2,17.4,6.6,76.5,27315.93619,3.9,3.5,0.08,41,0.388,0.268,0.328,0.098,532.1,109.4,0.133,0.111,400.33,3.61,50.1,8.3,967.0415,"Trump"
"2463","Macoupin County, Illinois",64.8690644852,21881,13.2,86.8,15,5.5,79.55,27138.359365,2.9,3.3,0.07,34.1,0.288,0.262,0.299,0.104,237,42.6,0.12,0.095,161.89,NA,70.9,5.9,992.124,"Trump"
"2464","Daviess County, Indiana",79.5920268256,10736,25.5,74.5,12.2,5.6,67.05,24879.983175,4,3.8,0.07,45.7,0.193,0.236,0.314,0.113,243.9,39.4,0.21,0.061,83.25,NA,67.7,6.4,1216.66,"Trump"
"2465","Dearborn County, Indiana",75.7423672104,23910,11.5,88.5,16.9,5.5,80.1,31746.89651,3.7,3.4,0.08,35.4,0.224,0.249,0.339,0.102,185.6,36,0.133,0.085,71.57,NA,58.5,6.1,1141.476,"Trump"
"2466","Jay County, Indiana",71.5523737754,7962,15.7,84.3,10.7,3.4,76.05,24562.338095,4,4,0.08,44.4,0.302,0.256,0.346,0.122,234.6,62.3,0.172,0.073,68.27,NA,66.2,NA,975.868,"Trump"
"2467","Pike County, Indiana",73.5820645809,5977,16.1,83.9,8.3,3,72.2,27516.438415,4.5,NA,0.1,44.9,0.355,0.184,0.315,0.118,180.7,NA,0.152,0.077,351.84,NA,63.3,NA,1217.676,"Trump"
"2468","Porter County, Indiana",50.6183653192,76492,8.7,91.3,25.2,8.9,80.4,31667.490795,2.9,3.4,0.07,22.4,0.256,0.214,0.293,0.099,222.3,80.3,0.136,0.077,165.33,2.14,54,6.4,992.9495,"Trump"
"2469","Wabash County, Indiana",73.1941856131,13415,14.6,85.4,16.3,6.1,74.05,24197.371745,3.5,2.9,0.08,34.7,0.267,0.193,0.368,0.132,187.1,37.2,0.154,0.086,86.11,NA,95.1,8.1,1023.366,"Trump"
"2470","Ford County, Kansas",67.2592592593,7425,30.5,69.5,17.2,5.7,72.1,25178.659685,2.6,2.2,0.07,73.9,0.249,0.17,0.343,0.096,341.4,98.5,0.222,0.036,458.91,NA,52.6,7.7,574.294,"Trump"
"2471","Graham County, Kansas",80.0790513834,1265,8.4,91.6,24.2,6.2,76.45,22039.715555,1.8,NA,NA,37,0.174,0.172,0.317,0.117,NA,NA,0.163,0.031,90.08,NA,NA,NA,577.6468,"Trump"
"2472","Jewell County, Kansas",81.1867835469,1483,9.3,90.7,18.9,4.9,74.9,22510.01524,3.4,1.7,NA,22.1,0.161,0.101,0.338,0.129,NA,NA,0.176,0.035,NA,NA,NA,NA,687.578,"Trump"
"2473","Clermont County, Ohio",68.384220621,96455,12.8,87.2,24.8,8.2,77.05,32016.653335,4.4,4.1,0.07,36.1,0.283,0.235,0.266,0.098,273.2,35.7,0.13,0.069,103.3,1.11,57.9,5.9,NA,"Trump"
"2474","Hocking County, Ohio",66.187165348,12513,16,84,10.2,3.8,74.7,25954.68603,3.4,4.4,0.08,46.8,0.319,0.245,0.318,0.117,122.5,63.2,0.147,0.079,36.39,NA,83.8,NA,1003.21533333,"Trump"
"2475","Knox County, Ohio",66.8503313166,27768,12.5,87.5,19,6.9,77.4,24187.779685,3.1,3.2,0.06,26.1,0.269,0.207,0.316,0.107,153.4,30.9,0.146,0.068,NA,2.63,58.2,5.7,1045.54866667,"Trump"
